bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.061,3.913,0.000,Thu Aug 20 13:27:15 BST 2015,off,224.446,http://localhost:5555/openrdf-workbench/repositories/BSBMRegex/query?limit=0,9.8740,0.0000,579.002,882.172,1,55,0.009777899489512895,808080,196.041,http://localhost:5555/openrdf-workbench/repositories/BSBMRegex/query?limit=0,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,5,0.043400,0.039383,1.280,50,0.098000,5,0.010000,0,23.041,0,1.008
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0.081400,0.038874,3.980,50,0.604000,10,0.010000,0,12.285,0,1.891
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0.289460,0.214308,9.020,50,1.521000,10,0.009000,0,3.455,0,6.726
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0.071900,0.061902,1.300,50,0.291000,4,0.020000,1,13.908,0,1.671
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,1.097500,0.801095,0.000,50,4.931000,0,0.097000,0,0.911,0,25.500
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,0.425420,0.154746,7.600,50,3.690000,10,0.010000,0,2.351,0,9.885
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0.044800,0.023953,0.720,50,0.621000,10,0.010000,0,22.321,0,1.041
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,0.043940,0.031666,1.080,50,0.231000,8,0.009000,0,22.758,0,1.021
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,0.047600,0.019273,0.000,50,0.536000,0,0.008000,0,21.008,0,1.106
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,0.033780,0.028493,0.000,50,0.122000,0,0.016000,0,29.603,0,0.785
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,0.156320,0.064275,1.480,50,2.165000,10,0.009000,0,6.397,0,3.632
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,0.104020,0.066965,1.000,50,1.350000,3,0.010000,0,9.614,0,2.417
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,0.048920,0.031919,1.220,50,0.181000,10,0.009000,0,20.442,0,1.137
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,0.103120,0.041682,0.180,50,0.952000,6,0.013000,0,9.697,0,2.396
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,0.029520,0.023941,0.000,50,0.160000,0,0.013000,0,33.875,0,0.686
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,0.066200,0.040290,1.880,50,0.334000,10,0.012000,0,15.106,0,1.538
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,0.016780,0.014329,0.000,50,0.085000,0,0.009000,0,59.595,0,0.390
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,0.177580,0.161795,3.100,50,0.376000,10,0.034000,1,5.631,0,4.126
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,0.062420,0.042944,2.440,50,0.232000,10,0.008000,0,16.021,0,1.450
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,0.051360,0.029069,1.200,50,0.697000,10,0.009000,0,19.470,0,1.193
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,0.245520,0.108043,4.780,50,1.545000,10,0.009000,0,4.073,0,5.705
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,0.212060,0.100118,4.780,50,1.490000,10,0.008000,0,4.716,0,4.927
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,0.181060,0.075445,2.160,50,1.585000,10,0.014000,0,5.523,0,4.207
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,0.191380,0.074378,6.420,50,1.084000,10,0.011000,0,5.225,0,4.447
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,0.478400,0.388269,10.000,50,1.884000,10,0.021000,10,2.090,0,11.116
